test/functional/fixtures/es_archiver/dashboard/current/data,7.8,7.6,8.2,local,0,300
test/functional/fixtures/es_archiver/saved_objects_management/export_exclusion,NaN,Infinity,-Infinity,local,0,300
test/functional/fixtures/es_archiver/saved_objects_management/export_transform,NaN,Infinity,-Infinity,local,0,300
test/functional/fixtures/es_archiver/saved_objects_management/hidden_from_http_apis,0.2,0.1,0.4,local,0,300
test/functional/fixtures/es_archiver/saved_objects_management/hidden_saved_objects,NaN,Infinity,-Infinity,local,0,300
test/functional/fixtures/es_archiver/saved_objects_management/hidden_types,NaN,Infinity,-Infinity,local,0,300
test/functional/fixtures/es_archiver/saved_objects_management/nested_export_transform,NaN,Infinity,-Infinity,local,0,300
test/functional/fixtures/es_archiver/saved_objects_management/visible_in_management,NaN,Infinity,-Infinity,local,0,300
test/functional/fixtures/es_archiver/search/downsampled,2.5,2.5,2.6,local,0,300
x-pack/test/apm_api_integration/common/fixtures/es_archiver/8.0.0,5.2,5.0,5.5,local,0,300
x-pack/test/apm_api_integration/common/fixtures/es_archiver/apm_8.0.0,7.3,7.0,7.8,local,0,300
x-pack/test/apm_api_integration/common/fixtures/es_archiver/apm_mappings_only_8.0.0,1.9,1.8,2.0,local,0,300
x-pack/test/apm_api_integration/common/fixtures/es_archiver/infra_metrics_and_apm,7.9,7.9,8.0,local,0,300
x-pack/test/apm_api_integration/common/fixtures/es_archiver/metrics_8.0.0,0.7,0.6,0.7,local,0,300
x-pack/test/apm_api_integration/common/fixtures/es_archiver/ml_8.0.0,9.1,8.7,9.4,local,0,300
x-pack/test/apm_api_integration/common/fixtures/es_archiver/observability_overview,0.3,0.2,0.3,local,0,300
x-pack/test/apm_api_integration/common/fixtures/es_archiver/rum_8.0.0,1.0,0.9,1.2,local,0,300
x-pack/test/apm_api_integration/common/fixtures/es_archiver/rum_test_data,1.6,1.5,1.7,local,0,300
test/functional/fixtures/es_archiver/alias,7.6,7.5,7.9,local,0,300
test/functional/fixtures/es_archiver/date_nanos,0.3,0.3,0.3,local,0,300
test/functional/fixtures/es_archiver/date_nanos_custom,0.2,0.2,0.3,local,0,300
test/functional/fixtures/es_archiver/date_nanos_mixed,0.5,0.5,0.5,local,0,300
test/functional/fixtures/es_archiver/date_nested,0.2,0.2,0.3,local,0,300
